request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_46,38800.06,affordable_with_plan,partial_payment,2024-12-03:38800.06|2024-12-15:10649.94,2024-12-15,none,"Pay INR 38,800.06 today and the remaining INR 10,649.94 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,13672397.89,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-08-21. None of the available options keeps the INR 99,700 minimum protected."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18573.87,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,623.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,6458.84,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 6,458.84 is available today, the full amount cannot be completed safely within 90 days."
request_55,133498.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,678.25,affordable_with_plan,partial_payment,2025-02-03:678.25|2025-02-15:203.31,2025-02-15,none,"Pay USD 678.25 today and the remaining USD 203.31 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,14724.02,affordable_later,wait,2026-05-15:61446.0,2026-05-15,none,"Pay ZAR 61,446 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,132.79,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 199.89 request. Although USD 132.79 is available today, the full amount cannot be completed safely within 90 days."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,47579.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 47,579.79 is available today, the full amount cannot be completed safely within 90 days."
request_64,47158.19,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. This leaves at least INR 36,100 available."
request_65,7114.42,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 7,114.42 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,541.88,affordable_later,wait,2024-10-15:2094.0,2024-10-15,none,"Pay USD 2,094 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1556.28,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,59952.21,affordable_later,wait,2025-01-15:243900.0,2025-01-15,none,"Pay INR 243,900 in full on 2025-01-15. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,750935.7,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 750,935.70 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 39,000 available."
request_76,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,398.29,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 398.29 is available today, the full amount cannot be completed safely within 90 days."
request_80,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100 minimum protected."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800 minimum protected."
request_84,24073.18,affordable_later,wait,2026-06-15:95400.0,2026-06-15,none,"Pay INR 95,400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,1270712.29,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 1,270,712.29 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900 minimum protected."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,9025940.43,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,728.87,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,"Pay EUR 1,927.20 in full on 2024-10-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. None of the available options keeps the ZAR 28,100 minimum protected."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,30928.85,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 30,928.85 is available today, the full amount cannot be completed safely within 90 days."
request_96,72934.66,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,10163.94,affordable_later,wait,2025-09-15:27148.0,2025-09-15,none,"Pay ZAR 27,148 in full on 2025-09-15. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,28954.85,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,7572.33,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 7,572.33 is available today, the full amount cannot be completed safely within 90 days."
request_104,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,458.14,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,1075.45,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,534.40 request. Although EUR 1,075.45 is available today, the full amount cannot be completed safely within 90 days."
request_108,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,781.31,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.0,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 82,300 available over the next 90 days."
request_114,50260.77,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 65,300 request. Although INR 50,260.77 is available today, the full amount cannot be completed safely within 90 days."
request_115,16371.71,affordable_later,wait,2024-10-15:80500.0,2024-10-15,none,"Pay INR 80,500 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,20657.78,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 20,657.78 is available today, the full amount cannot be completed safely within 90 days."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,43.86,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 738.10 request. Although EUR 43.86 is available today, the full amount cannot be completed safely within 90 days."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,6423.77,affordable_with_plan,full_payment,2025-11-06:6468.0,2025-11-06,reduce_to:event_11599:223.3,"Reduce the weekend food delivery to 223.3, then pay ZAR 6,468 today. This leaves at least ZAR 11,300 available."
request_126,92536.12,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 159,600 request. Although INR 92,536.12 is available today, the full amount cannot be completed safely within 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,154.54,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 154.54 is available today, the full amount cannot be completed safely within 90 days."
request_130,417.31,affordable_later,wait,2025-02-15:1978.8,2025-02-15,stop:event_11958,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1274.73,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,5432395.72,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 5,432,395.72 is available today, the full amount cannot be completed safely within 90 days."
request_134,7343943.67,affordable_later,wait,2025-09-15:21831000.0,2025-09-15,none,"Pay IDR 21,831,000 in full on 2025-09-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,32022.39,affordable_later,wait,2026-01-15:80100.0,2026-01-15,none,"Pay INR 80,100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,851.67,affordable_with_plan,partial_payment,2026-04-07:851.67|2026-04-15:405.27,2026-04-15,none,"Pay EUR 851.67 today and the remaining EUR 405.27 on 2026-04-15. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1295.28,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,316 request. Although USD 1,295.28 is available today, the full amount cannot be completed safely within 90 days."
request_140,3185.28,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 3,185.28 is available today, the full amount cannot be completed safely within 90 days."
request_141,28545.84,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 28,545.84 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3058.08,affordable_later,wait,2025-05-15:12584.0,2025-05-15,none,"Pay ZAR 12,584 in full on 2025-05-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400 minimum protected."
request_146,27847.22,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 27,847.22 is available today, the full amount cannot be completed safely within 90 days."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,8120.42,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available."
request_149,23357.95,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11643.83,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available."
request_153,153.64,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 153.64 is available today, the full amount cannot be completed safely within 90 days."
request_154,193.85,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,625.80 request. Although EUR 193.85 is available today, the full amount cannot be completed safely within 90 days."
request_155,48210.5,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 112,500 request. Although INR 48,210.50 is available today, the full amount cannot be completed safely within 90 days."
request_156,8909.93,affordable_later,wait,2026-05-15:43076.0,2026-05-15,none,"Pay ZAR 43,076 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4482704.42,affordable_later,wait,2024-05-15:23503000.0,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,3021829.57,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 3,021,829.57 is available today, the full amount cannot be completed safely within 90 days."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the IDR 29,550,500 minimum protected."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,32845773.48,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,62.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 62 is available today, the full amount cannot be completed safely within 90 days."
request_172,9447.82,affordable_with_plan,partial_payment,2024-06-05:9447.82|2024-06-15:752.18,2024-06-15,none,"Pay ZAR 9,447.82 today and the remaining ZAR 752.18 on 2024-06-15. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,70005.94,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,895.4,affordable_with_plan,full_payment,2026-01-05:1017.6,2026-01-05,stop:event_16235,"Stop the video streaming plan, then pay USD 1,017.60 today. This leaves at least USD 1,300 available."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,11174195.01,affordable_later,wait,2025-07-15:41648000.0,2025-07-15,none,"Pay IDR 41,648,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,426.88,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 426.88 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.0,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,25058627.7,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,13699.27,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 13,699.27 is available today, the full amount cannot be completed safely within 90 days."
request_185,493.03,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,"Pay EUR 1,257.30 in full on 2025-12-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
